,iteration_num,N_screened,percentage_screened,mean_score,median_score,min_score,shared_with_top_N,N_found_by_now,N_found_if_random,percentage_found
77,77,1540000,1.6005952385035531,-50.24024,-51.41,-88.11,134,27825,780,57.83981541147858
78,78,1560000,1.62138218965295,-61.7362845,-63.49,-93.85,793,28618,790,59.488224166961146
79,79,1580000,1.6421691408023469,-47.9112315,-46.44,-83.29,111,28729,800,59.718959818737396
80,80,1600000,1.6629560919517437,-47.701492,-46.53,-84.78,95,28824,810,59.91643627746481
81,81,1620000,1.6837430431011404,-47.436083499999995,-46.17,-86.42,124,28948,820,60.174195023593235
82,82,1640000,1.7045299942505372,-48.4994055,-48.59,-84.98,137,29085,830,60.45897686407383
83,83,1660000,1.725316945399934,-47.494953,-46.595,-85.23,111,29196,840,60.68971251585008
84,84,1680000,1.746103896549331,-48.725092,-49.03,-85.29,114,29310,850,60.92668426632299
85,85,1700000,1.7668908476987277,-48.38485049999999,-48.91,-85.3,183,29493,860,61.307086286818965
86,86,1720000,1.7876777988481245,-49.477231499999995,-50.864999999999995,-86.4,143,29636,870,61.60434032469288
87,87,1740000,1.8084647499975213,-48.205743500000004,-47.79,-87.07,129,29765,880,61.87249256864905
88,88,1760000,1.829251701146918,-48.408952,-49.08,-87.09,101,29866,890,62.08244122476978
89,89,1780000,1.8500386522963148,-62.040955000000004,-63.71,-86.76,802,30668,900,63.74955827634232
90,90,1800000,1.8708256034457114,-47.645303999999996,-47.39,-85.7,117,30785,910,63.99276612551188
91,91,1820000,1.8916125545951081,-48.631716000000004,-48.36,-91.09,152,30937,920,64.30872845947574
92,92,1840000,1.912399505744505,-49.0211585,-49.285,-86.36,179,31116,930,64.68081568170952
93,93,1860000,1.933186456893902,-48.57234450000001,-48.995000000000005,-89.61,197,31313,940,65.09031949612323
94,94,1880000,1.9539734080432987,-49.3805105,-49.5,-89.82,290,31603,950,65.69314237013324
95,95,1900000,1.9747603591926954,-49.166059499999996,-49.38,-92.77,320,31923,960,66.35832623110983
96,96,1920000,1.9955473103420922,-48.8860885,-48.85,-88.63,269,32192,970,66.91749641424325
97,97,1940000,2.016334261491489,-47.9085125,-46.08,-87.91,196,32388,980,67.3249215290914
98,98,1960000,2.0371212126408857,-49.1552825,-49.13,-87.79,263,32651,990,67.87161951483152
99,99,1980000,2.0579081637902825,-49.622859999999996,-49.9,-88.47,289,32940,1000,68.47236368927598
